record_type,record_number,year,position_in_draw,result,result_code,tournament_stage,player,country,participation,matches_played,matches_won,matches_lost,frames_played,frames_won,frames_lost,match_win_pct,frame_win_pct
tournament,192,1984,32,First Round,1R,1,Jim Wych,CAN,2,1,0,1,17,7,10,0,41.17647059
tournament,193,1985,1,Runner-Up,TF,5,Steve Davis,ENG,7,5,4,1,110,69,41,80,62.72727273
tournament,194,1985,2,First Round,1R,1,Neal Foulds,ENG,2,1,0,1,18,8,10,0,44.44444444
tournament,195,1985,3,Last 16,L16,2,David Taylor,ENG,9,2,1,1,31,14,17,50,45.16129032
tournament,196,1985,4,First Round,1R,1,Dene O'Kane,NZL,1,1,0,1,14,4,10,0,28.57142857
tournament,197,1985,5,Last 16,L16,2,Alex Higgins,NIR,9,2,1,1,34,17,17,50,50
tournament,198,1985,6,First Round,1R,1,Dean Reynolds,ENG,3,1,0,1,14,4,10,0,28.57142857
tournament,199,1985,7,Quarter-Finals,QF,3,Terry Griffiths,WAL,7,3,2,1,52,29,23,66.66666667,55.76923077
tournament,200,1985,8,First Round,1R,1,Rex Williams,ENG,5,1,0,1,13,3,10,0,23.07692308
tournament,201,1985,9,Semi-Finals,SF,4,Ray Reardon,WAL,9,4,3,1,87,41,46,75,47.12643678
tournament,202,1985,10,First Round,1R,1,Eugene Hughes,IRL,2,1,0,1,19,9,10,0,47.36842105
tournament,203,1985,11,First Round,1R,1,Willie Thorne,ENG,8,1,0,1,16,6,10,0,37.5
tournament,204,1985,12,Last 16,L16,2,Patsy Fagan,IRL,5,2,1,1,38,19,19,50,50
tournament,205,1985,13,First Round,1R,1,John Spencer,ENG,9,1,0,1,13,3,10,0,23.07692308
tournament,206,1985,14,Quarter-Finals,QF,3,John Parrott,ENG,2,3,2,1,57,35,22,66.66666667,61.40350877
tournament,207,1985,15,Last 16,L16,2,Kirk Stevens,CAN,7,2,1,1,37,16,21,50,43.24324324
tournament,208,1985,16,First Round,1R,1,Ray Edmonds,ENG,3,1,0,1,18,8,10,0,44.44444444
tournament,209,1985,17,Quarter-Finals,QF,3,Cliff Thorburn,CAN,9,3,2,1,52,28,24,66.66666667,53.84615385
tournament,210,1985,18,First Round,1R,1,Mike Hallett,ENG,4,1,0,1,18,8,10,0,44.44444444
tournament,211,1985,19,Last 16,L16,2,Bill Werbeniuk,CAN,8,2,1,1,34,13,21,50,38.23529412
tournament,212,1985,20,First Round,1R,1,Joe Johnson,ENG,2,1,0,1,18,8,10,0,44.44444444
tournament,213,1985,21,Winner,W,6,Dennis Taylor,NIR,9,5,5,0,105,70,35,100,66.66666667
tournament,214,1985,22,First Round,1R,1,Silvino Francisco,RSA,4,1,0,1,12,2,10,0,16.66666667
tournament,215,1985,23,Last 16,L16,2,Eddie Charlton,AUS,9,2,1,1,32,16,16,50,50
tournament,216,1985,24,First Round,1R,1,John Campbell,AUS,2,1,0,1,13,3,10,0,23.07692308
tournament,217,1985,25,Quarter-Finals,QF,3,Jimmy White,ENG,5,3,2,1,61,33,28,66.66666667,54.09836066
tournament,218,1985,26,First Round,1R,1,Wayne Jones,WAL,1,1,0,1,14,4,10,0,28.57142857
tournament,219,1985,27,Last 16,L16,2,Tony Meo,ENG,6,2,1,1,40,21,19,50,52.5
tournament,220,1985,28,First Round,1R,1,John Virgo,ENG,8,1,0,1,16,6,10,0,37.5
tournament,221,1985,29,Last 16,L16,2,Doug Mountjoy,WAL,9,2,1,1,34,16,18,50,47.05882353
tournament,222,1985,30,First Round,1R,1,Murdo MacLeod,SCO,1,1,0,1,15,5,10,0,33.33333333
tournament,223,1985,31,Semi-Finals,SF,4,Tony Knowles,ENG,5,4,3,1,81,41,40,75,50.61728395
tournament,224,1985,32,First Round,1R,1,Tony Jones,ENG,1,1,0,1,18,8,10,0,44.44444444
tournament,225,1986,1,First Round,1R,1,Dennis Taylor,NIR,10,1,0,1,16,6,10,0,37.5
