match_number,year,round,round_code,tournament_stage,best_of,frames_played,player_1,player_1_nat,player_1_seed,player_1_score,player_1_pct,player_1_result,player_2,player_2_nat,player_2_seed,player_2_score,player_2_pct,player_2_result,winner,winner_nat,winner_seed,winner_score,loser,loser_nat,loser_seed,loser_score,margin,match_up
274,1987,Quarter-Finals,QF,3,25,22,Neal Foulds,ENG,13,13,59.09090909,W,Mike Hallett,ENG,u,9,40.90909091,L,Neal Foulds,ENG,13,13,Mike Hallett,ENG,u,9,4,Mike Hallett v Neal Foulds
275,1987,Quarter-Finals,QF,3,25,19,Dene O'Kane,NZL,u,6,31.57894737,L,Jimmy White,ENG,6,13,68.42105263,W,Jimmy White,ENG,6,13,Dene O'Kane,NZL,u,6,7,Dene O'Kane v Jimmy White
275,1987,Quarter-Finals,QF,3,25,19,Jimmy White,ENG,6,13,68.42105263,W,Dene O'Kane,NZL,u,6,31.57894737,L,Jimmy White,ENG,6,13,Dene O'Kane,NZL,u,6,7,Dene O'Kane v Jimmy White
276,1987,Quarter-Finals,QF,3,25,18,Steve Davis,ENG,2,13,72.22222222,W,Terry Griffiths,WAL,10,5,27.77777778,L,Steve Davis,ENG,2,13,Terry Griffiths,WAL,10,5,8,Steve Davis v Terry Griffiths
276,1987,Quarter-Finals,QF,3,25,18,Terry Griffiths,WAL,10,5,27.77777778,L,Steve Davis,ENG,2,13,72.22222222,W,Steve Davis,ENG,2,13,Terry Griffiths,WAL,10,5,8,Steve Davis v Terry Griffiths
277,1987,Semi-Finals,SF,4,31,25,Joe Johnson,ENG,1,16,64,W,Neal Foulds,ENG,13,9,36,L,Joe Johnson,ENG,1,16,Neal Foulds,ENG,13,9,7,Joe Johnson v Neal Foulds
277,1987,Semi-Finals,SF,4,31,25,Neal Foulds,ENG,13,9,36,L,Joe Johnson,ENG,1,16,64,W,Joe Johnson,ENG,1,16,Neal Foulds,ENG,13,9,7,Joe Johnson v Neal Foulds
278,1987,Semi-Finals,SF,4,31,27,Jimmy White,ENG,6,11,40.74074074,L,Steve Davis,ENG,2,16,59.25925926,W,Steve Davis,ENG,2,16,Jimmy White,ENG,6,11,5,Jimmy White v Steve Davis
278,1987,Semi-Finals,SF,4,31,27,Steve Davis,ENG,2,16,59.25925926,W,Jimmy White,ENG,6,11,40.74074074,L,Steve Davis,ENG,2,16,Jimmy White,ENG,6,11,5,Jimmy White v Steve Davis
279,1987,The Final,FIN,5,35,32,Joe Johnson,ENG,1,14,43.75,L,Steve Davis,ENG,2,18,56.25,W,Steve Davis,ENG,2,18,Joe Johnson,ENG,1,14,4,Joe Johnson v Steve Davis
279,1987,The Final,FIN,5,35,32,Steve Davis,ENG,2,18,56.25,W,Joe Johnson,ENG,1,14,43.75,L,Steve Davis,ENG,2,18,Joe Johnson,ENG,1,14,4,Joe Johnson v Steve Davis
